Question,Answer,Anchor,Distractor 1,Distractor 2,Distractor 3,Type,Day,Authored by,Verified By,Issue,Column 1
"During the first day workshop opening presentations, where was the notebook computer placed?",On a high chair brought from the kitchen,Day 1 10:07,On a folding ladder,On a wooden chair brought from the dining table,On an ottoman chair,what/where,1,Luca,Graham,added 'brought',
How many duck sculptures are on the top shelf to the right of the fireplace?,5,Allie Day 1 11:28,3,4,6,how many,1,Luca,Graham,left -> right,
How many eggs did Cathal put into the rice pudding?,4,Day 1 19:47,1,2,3,how many,1,Luca,Graham,,
How many oranges were used to make the mulled wine?,4,Day 1 16:27:08,3,6,5,how many,1,Luca,Graham,,
How much did Cathal spend on the four buzzers for the happy quiz?,9 EUR,Day 1 15:02,4 EUR,12 EUR,16 EUR,how much,1,Luca,Graham,,
In which cupboard did Werner store the liquid measuring cup?,"The lower cupboard, opposite the dishwasher.",Werner Day 1 17:4:40,"The lower cupboard, to the left of the dishwasher.","The upper cupboard, above the coffee machine.",The cupboard next to the fridge.,which,1,Allie,Luca,,
What alcohol percentage did the rum have that went into the mulled wine?,60%,Klaus Day 1 16:42,65%,70%,80%,how much,1,Luca,Graham,,
"What are Onanong and Tien doing when Allie is playing ""Twinkle Twinkle Little Star"" on the guitar?",Putting up the Christmas Tree,Day 1 11:30,Unloading the dishwasher,Playing the sea battle game,Eating breakfast,what,1,Allie,Luca,,
What brand is the fridge in the kitchen?,Samsung,Kitchen Day 1 12:16,Whirlpool,Bosch,Liebherr,what,1,Luca,Graham,,
What brand of tea was available?,Barry's,Kitchen Day 1,Lyons,Bewley's,Punjana,what,1,Luca,Graham,"slightly reworded question, used-> available",
What colour was the rim of Werner's plate during breakfast on the first day?,Yellow,"Day 1, 9:00 - ...",Green,Gray,White,what,1,Luca,Graham,,
What conference were many of the participants involved in organising in the upcoming October?,ACM MM,Day 1 20:10:40,CIKM,ECIR,IEEE ICME,what,1,Allie,Luca,,
"What did Bjorn shout out to see in the distance when he was on the patio with Klaus, Stevan, and Werner?",Sheep,Day 1 11:37 Bjorn,Water,Cathal,Boat,what,1,Klaus,Luca,,
What did Cathal tell Stevan his heart rate was when he was making coffee?,87,Day 1 14:47,112,78,92,what,1,Allie,Luca,,
What family name is on the coat of arms in the reading area?,Keogh,Day 1 17:30:50,Healy,O'Neill,Salmon,what,1,Graham,Klaus,,
What game did Bjorn suggest to play with the cameras?,Chicken,Day 1 20:16:00 Bjorn,Hide and Seek,Freeze Tag,"Red Light, Green Light",what,1,Omar,Luca,,
What is on the back of Werner's t-shirt on the first day?,KBTG,Kitchen Day 1 14:44:46,ABTG,KATG,RBTG,what,1,Allie,Luca,,
What is the capacity of the external batteries powering the wearable cameras?,20000mAh,Day 1 10:28,10000mAh,5000mAh,30000mAh,what,1,Luca,Graham,"Luca says 20Ah, not 20000mAh. I've changed all to Ah.",
"What item did Bao give to Stevan, which was then passed to Luca in the kitchen?",A travel plug,Day 1 14:44:43,A ball,A camera,A meal list,what,1,Allie,Luca,,
What medium did Allie use for her painting of a Christmas tree and a vase of flowers?,Water Colors,Allie Day 1 11:45,Oil Paint,Acrylic Paint,Colored Pencils,what,1,Luca,Graham,colors -> medium (as colors implies specific colors),
What organisation's logo is on Werner's apron?,W3C,Kitchen Day 1 12:16,ACM,IEEE,Wikimedia,what,1,Luca,Graham,,
What time did Allie and Linh plan to leave on Saturday at first?,5 am,Day 1 14:35,10 am,7 am,5 pm,what time,1,Allie,Luca,,
What was Florian using the pot to smash?,Peanuts,Kitchen Day 1 17:35,Cashews,Pork chops,Chicken fillet,what,1,Allie,Luca,,
What was for lunch on the first day?,Risotto,Day 1 14:00,Lasagna,Curry,Glazed Ham,what,1,Luca,Graham,,
What was not part of breakfast on the first day?,Fried Eggs,"Day 1, 8:15 - 9:30",Sausages,Bacon,Mushrooms,"what, negated",1,Luca,Graham,,
What was the brand of model airplane that was sitting on the table while people were building a tower with the wooden blocks?,Airfix,Day 1 19:22,Revell,Tamina,SuperFly,what,1,Cathal,Luca,,
What was the first category in the happy quiz?,Sport,Day 1 14:53:25,Electronics,World Capitals,K-Pop,what,1,Luca,Graham,,
When did Cathal want rösti?,Thursday,Day 1 14:30,Wednesday,Tuesday,Friday,when,1,Allie,Luca,,
When was the first one of the two pineapples cut?,Day 1 8 pm,Florian day 1 20:15,Day 1 6 pm,Day 1 7 pm,Day 2 8 am,what time,1,Werner,Luca,,
Which operating system was planned to be installed on the spare laptop?,Ubuntu,Stevan Day 1 11:05:48,Fedora,Windows,MacOS,what,1,Luca,Graham,,
Who brought a non-working camera to Luca to fix on the first day?,Tien,Day 1 15:35,Florian,Onanong,Werner,who,1,Cathal,Luca,,
Who brought the coffee pot to the table for breakfast on the first day?,Werner,"Day 1, 9:03:31",Klaus,Allie,Stevan,Who,1,Luca,Graham,changed to 'who brought',
Who dealt first in the first game of poker?,Florian,Day 1 12:13,Onanong,Cathal,Linh,who,1,Luca,Graham,"reworded, as they switched who dealt cards",
Who gave the first presentation for the workshop on the first day?,Cathal,"Day 1, 10:05",Klaus,Luca,Bjorn,who,1,Luca,Graham,introductory -> first,
Who helped Luca with the eggs in the kitchen while Onanong was playing guitar?,Stevan,Day 1 11:54,Allie,Cathal,Tien,who,1,Allie,Luca,,
Who made the joke about “avoiding content ID matches” during the Happy Quiz on the first day?,Florian,Day 1 15:19,Cathal,Allie,Bjorn,who,1,Cathal,Luca,,
Who was driving Cathal's car on the morning of the first day?,Allie,"Day 1, 09:30",Bao,Florian,Stevan,who,1,Luca,Graham,"Tien also drove it afterwards, but I think it's fine as his name is not an option",
Who was the first person to unfold the green poker mat?,Onanong,Day 1 12:09,Cathal,Stevan,Allie,who,1,Luca,Allie,Allie: change use -> unfold,
Who was the second person to present slides at the workshop opening on the first day?,Klaus,Day 1 10:11,Cathal,Luca,Werner,who,1,Luca,Graham,,
Who won the first round of UNO?,Klaus,Klaus Day 1 17:21:18,Allie,Bjorn,Tien,who,1,Luca,Graham,did Allie not win at 17:22:27?,
